,IdJuego,categories
0,10,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled
1,20,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled
2,30,Multi-player;Valve Anti-Cheat enabled
3,40,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled
4,50,Single-player;Multi-player;Valve Anti-Cheat enabled
5,60,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled
6,70,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled
7,80,Single-player;Multi-player;Valve Anti-Cheat enabled
8,130,Single-player
9,220,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK
10,240,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK
11,280,Single-player
12,300,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK
13,320,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK
14,340,Single-player;Commentary available
15,360,Multi-player;Valve Anti-Cheat enabled
16,380,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available
17,400,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available
18,420,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available
19,440,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available
20,500,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available
21,550,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available
22,570,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled
23,620,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available
24,630,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor
25,730,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats
26,1002,Single-player;Multi-player
27,1200,Multi-player;Steam Achievements;Valve Anti-Cheat enabled
28,1250,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor
29,1300,Single-player;Stats
30,1500,Single-player
31,1510,Single-player
32,1520,Single-player;Multi-player
33,1530,Single-player;Multi-player;Steam Achievements
34,1600,Single-player;Multi-player
35,1610,Single-player;Multi-player
36,1630,Single-player;Multi-player;Co-op
37,1640,Single-player;Multi-player;Co-op
38,1670,Single-player;Multi-player
39,1690,Single-player;Multi-player
40,1700,Single-player
41,1840,Steam Workshop
42,1900,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards
43,1930,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support
44,2100,Single-player;Multi-player;Valve Anti-Cheat enabled
45,2200,Single-player;Multi-player;Steam Cloud
46,2210,Single-player;Multi-player;Steam Cloud
47,2270,Single-player;Steam Cloud
48,2280,Single-player;Steam Cloud
49,2290,Single-player;Steam Cloud
