,IdJuego,platforms
0,10,windows;mac;linux
1,20,windows;mac;linux
2,30,windows;mac;linux
3,40,windows;mac;linux
4,50,windows;mac;linux
5,60,windows;mac;linux
6,70,windows;mac;linux
7,80,windows;mac;linux
8,130,windows;mac;linux
9,220,windows;mac;linux
10,240,windows;mac;linux
11,280,windows;mac;linux
12,300,windows;mac;linux
13,320,windows;mac;linux
14,340,windows;mac;linux
15,360,windows;mac;linux
16,380,windows;mac;linux
17,400,windows;mac;linux
18,420,windows;mac;linux
19,440,windows;mac;linux
20,500,windows;mac
21,550,windows;mac;linux
22,570,windows;mac;linux
23,620,windows;mac;linux
24,630,windows
25,730,windows;mac;linux
26,1002,windows
27,1200,windows;mac;linux
28,1250,windows;mac;linux
29,1300,windows
30,1500,windows;mac;linux
31,1510,windows;mac;linux
32,1520,windows;mac;linux
33,1530,windows;mac
34,1600,windows
35,1610,windows
36,1630,windows
37,1640,windows
38,1670,windows
39,1690,windows
40,1700,windows
41,1840,windows
42,1900,windows;mac;linux
43,1930,windows;mac;linux
44,2100,windows
45,2200,windows
46,2210,windows
47,2270,windows
48,2280,windows
49,2290,windows
50,2300,windows
51,2310,windows
52,2320,windows
53,2330,windows
54,2340,windows
55,2350,windows
56,2360,windows
57,2370,windows
58,2390,windows
59,2400,windows
60,2450,windows
61,2500,windows;mac
62,2520,windows
63,2590,windows
64,2600,windows
65,2610,windows
66,2620,windows
67,2630,windows;mac
68,2640,windows
69,2710,windows
70,2720,windows
71,2780,windows
72,2800,windows
73,2810,windows;mac;linux
74,2820,windows;mac;linux
75,2840,windows
76,2850,windows
77,2870,windows;mac;linux
78,2900,windows
79,2910,windows
80,2920,windows
81,2990,windows
82,3010,windows
83,3020,windows
84,3050,windows
85,3130,windows
86,3170,windows;mac
87,3230,windows
88,3260,windows
89,3270,windows
90,3330,windows;mac
91,3410,windows
92,3480,windows;mac
93,3483,windows
94,3490,windows
95,3500,windows
96,3510,windows
97,3520,windows
98,3530,windows
99,3540,windows;mac
100,3560,windows
101,3570,windows
102,3580,windows
103,3590,windows;mac
104,3600,windows;mac
105,3610,windows
106,3620,windows
107,3700,windows
108,3710,windows
109,3720,windows
110,3730,windows
111,3800,windows
112,3810,windows
113,3820,windows
114,3830,windows;mac;linux
115,3900,windows;mac
116,3910,windows
117,3920,windows
118,3960,windows
119,3980,windows
120,3990,windows;mac
121,4000,windows;mac;linux
122,4100,windows
123,4230,windows
124,4290,windows
125,4300,windows
126,4420,windows
127,4460,windows
128,4470,windows
129,4500,windows
130,4520,windows
131,4530,windows
132,4560,windows
133,4570,windows
134,4580,windows
135,4700,windows;mac;linux
136,4720,windows
137,4760,windows
138,4770,windows
139,4780,windows;mac;linux
140,4800,windows
141,4850,windows
142,4870,windows
143,4880,windows
144,4890,windows
145,4900,windows
146,4920,windows;linux
147,6000,windows
148,6010,windows;mac
149,6020,windows;mac
150,6030,windows;mac
151,6040,windows;mac
152,6060,windows
153,6080,windows
154,6090,windows
155,6120,windows;mac;linux
156,6200,windows
157,6210,windows
158,6220,windows
159,6250,windows
160,6270,windows
161,6300,windows
162,6310,windows
163,6370,windows
164,6400,windows
165,6420,windows
166,6510,windows
167,6550,windows
168,6800,windows
169,6810,windows
170,6830,windows
171,6840,windows
172,6850,windows
173,6860,windows
174,6870,windows
175,6880,windows
176,6900,windows
177,6910,windows
178,6920,windows
179,6980,windows
180,7000,windows
181,7010,windows
182,7020,windows
183,7110,windows
184,7200,windows
185,7210,windows
186,7220,windows
187,7260,windows
188,7340,windows
189,7510,windows;mac;linux
190,7520,windows;mac
191,7530,windows;mac
192,7600,windows;mac
193,7610,windows
194,7620,windows
195,7650,windows
196,7660,windows
197,7730,windows
198,7760,windows
199,7770,windows
200,7830,windows
201,7840,windows
202,7860,windows
203,7940,windows;mac
204,8000,windows
205,8080,windows
206,8100,windows
207,8140,windows
208,8170,windows
209,8190,windows
210,8310,windows
211,8320,windows
212,8330,windows
213,8340,windows;mac
214,8400,windows
215,8500,windows;mac
216,8600,windows
217,8790,windows
218,8800,windows;mac
219,8870,windows;mac;linux
220,8880,windows
221,8890,windows
222,8930,windows;mac;linux
223,8970,windows
224,9000,windows
225,9010,windows
226,9030,windows
227,9040,windows
228,9050,windows
229,9060,windows
230,9160,windows
231,9180,windows
232,9200,windows
233,9310,windows
234,9340,windows
235,9350,windows
236,9420,windows
237,9450,windows
238,9460,windows
239,9480,windows;linux
240,9500,windows;mac
241,9710,windows
242,9760,windows
243,9800,windows
244,9850,windows
245,9880,windows
246,9900,windows
247,9940,windows
248,9960,windows
249,9970,windows
250,9980,windows
251,10090,windows
252,10100,windows
253,10110,windows
254,10120,windows
255,10130,windows
256,10140,windows
257,10150,windows
258,10180,windows;mac
259,10220,windows
260,10230,windows
261,10240,windows
262,10250,windows
263,10260,windows
264,10270,windows
265,10460,windows
266,10500,windows;mac;linux
267,10680,windows
268,11020,windows
269,11040,windows
270,11050,windows
271,11130,windows
272,11140,windows
273,11150,windows
274,11190,windows
275,11200,windows;mac
276,11230,windows
277,11240,windows
278,11250,windows
279,11260,windows
280,11280,windows;mac
281,11330,windows
282,11340,windows
283,11360,windows;mac
284,11450,windows;mac;linux
285,11480,windows
286,11560,windows
287,11590,windows
288,12100,windows
289,12110,windows
290,12120,windows
291,12130,windows
292,12140,windows
293,12150,windows
294,12170,windows
295,12180,windows
296,12200,windows
297,12210,windows
298,12220,windows
299,12310,windows
300,12320,windows
301,12330,windows
302,12340,windows
303,12360,windows
304,12390,windows
305,12420,windows
306,12430,windows
307,12440,windows
308,12450,windows
309,12460,windows
310,12470,windows
311,12480,windows
312,12500,windows
313,12510,windows
314,12520,windows
315,12530,windows
316,12540,windows
317,12560,windows
318,12590,windows
319,12600,windows
320,12640,windows
321,12670,windows
322,12710,windows;mac;linux
323,12770,windows
324,12790,windows
325,12810,windows;mac;linux
326,12830,windows
327,13000,windows
328,13140,windows
329,13200,windows
330,13210,windows
331,13230,windows
332,13240,windows
333,13250,windows
334,13500,windows
335,13520,windows
336,13530,windows
337,13540,windows
338,13560,windows
339,13570,windows
340,13580,windows
341,13600,windows
342,13620,windows
343,15000,windows
344,15080,windows
345,15100,windows
346,15120,windows
347,15130,windows
348,15160,windows
349,15170,windows
350,15190,windows
351,15200,windows
352,15210,windows
353,15240,windows
354,15270,windows
355,15300,windows
356,15320,windows
357,15370,windows
358,15380,windows
359,15390,windows
360,15400,windows;mac;linux
361,15500,windows
362,15520,windows
363,15560,windows;mac;linux
364,15620,windows;mac;linux
365,15700,windows
366,15710,windows
367,15740,windows
368,15750,windows
369,15800,windows
370,15900,windows
371,15910,windows
372,15920,windows
373,15930,windows
374,15960,windows
375,15970,windows;mac
376,16000,windows
377,16020,windows
378,16030,windows
379,16040,windows
380,16060,windows
381,16100,windows
382,16110,windows
383,16120,windows
384,16130,windows
385,16180,windows
386,16200,windows
387,16450,windows
388,16500,windows
389,16600,windows
