,IdJuego,steamspy_tags
0,10,Action;FPS;Multiplayer
1,20,Action;FPS;Multiplayer
2,30,FPS;World War II;Multiplayer
3,40,Action;FPS;Multiplayer
4,50,FPS;Action;Sci-fi
5,60,Action;FPS;Multiplayer
6,70,FPS;Classic;Action
7,80,Action;FPS;Multiplayer
8,130,FPS;Action;Sci-fi
9,220,FPS;Action;Sci-fi
10,240,Action;FPS;Multiplayer
11,280,FPS;Action;Sci-fi
12,300,FPS;World War II;Multiplayer
13,320,Action;FPS;Multiplayer
14,340,FPS;Action;Singleplayer
15,360,Action;FPS;Multiplayer
16,380,FPS;Action;Sci-fi
17,400,Puzzle;First-Person;Singleplayer
18,420,FPS;Action;Sci-fi
19,440,Free to Play;Multiplayer;FPS
20,500,Zombies;Co-op;FPS
21,550,Zombies;Co-op;FPS
22,570,Free to Play;MOBA;Strategy
23,620,Puzzle;Co-op;First-Person
24,630,Free to Play;Co-op;Action
25,730,FPS;Multiplayer;Shooter
26,1002,Indie;Fighting;Multiplayer
27,1200,World War II;Action;FPS
28,1250,FPS;Zombies;Co-op
29,1300,Action;FPS;Cyberpunk
30,1500,Strategy;Indie;RTS
31,1510,Hacking;Indie;Strategy
32,1520,Strategy;Indie;Multiplayer
33,1530,Indie;RTS;Strategy
34,1600,Strategy;Simulation;Naval
35,1610,Strategy;4X;Sci-fi
36,1630,Strategy;Turn-Based Strategy;Fantasy
37,1640,Turn-Based Strategy;Strategy;Classic
38,1670,Simulation;Strategy;Tanks
39,1690,Strategy;4X;Space
40,1700,RPG;First-Person;Classic
41,1840,Animation & Modeling;Video Production;Free to Play
42,1900,Strategy;RTS;Sci-fi
43,1930,RPG;Open World;Fantasy
44,2100,RPG;Action;First-Person
45,2200,FPS;Action;Classic
46,2210,FPS;Action;Shooter
47,2270,FPS;Classic;Action
48,2280,Classic;FPS;Action
49,2290,FPS;Action;Classic
50,2300,Classic;FPS;Action
51,2310,FPS;Classic;Action
52,2320,FPS;Action;Classic
53,2330,Action;FPS;Classic
54,2340,Action;FPS;Shooter
55,2350,Action;FPS;Competitive
56,2360,Action;FPS;Classic
57,2370,Action;FPS;Classic
58,2390,Classic;Action;FPS
59,2400,Multiplayer;Indie;Action
60,2450,Action;Multiplayer;FPS
61,2500,Action;Sci-fi;Top-Down Shooter
62,2520,Casual;Indie;Singleplayer
63,2590,Action;FPS;Sci-fi
64,2600,RPG;Vampire;Cult Classic
65,2610,Western;Action;Open World
66,2620,FPS;World War II;Action
67,2630,Action;World War II;FPS
68,2640,Action;World War II;FPS
69,2710,Action;Strategy;RTS
70,2720,Strategy;Action;Indie
71,2780,Action;Simulation;Shooter
72,2800,Space;Strategy;Simulation
73,2810,Space;Simulation;Strategy
74,2820,Space;Simulation;Sci-fi
75,2840,Simulation;Space;Strategy
76,2850,Simulation;Strategy;Space
77,2870,Space;Simulation;Sci-fi
78,2900,Strategy;Simulation;Naval
79,2910,Strategy;Simulation;Naval
80,2920,Strategy;Simulation;Naval
81,2990,Racing;Destruction;Multiplayer
82,3010,Racing;Multiplayer
83,3020,Western;Action;FPS
84,3050,Racing;Offroad;Simulation
85,3130,Strategy;World War II;RTS
86,3170,RPG;Turn-Based Strategy;Strategy
87,3230,Strategy;Space;Sci-fi
88,3260,Puzzle;Adventure;Casual
89,3270,Action;FPS;Shooter
90,3330,Casual;Match 3;Puzzle
91,3410,Casual;Arcade;Action
92,3480,Casual;Puzzle;Arcade
93,3483,Casual;Puzzle;Free to Play
94,3490,Casual
95,3500,Casual;Hidden Object
96,3510,Casual;Hidden Object;Puzzle
97,3520,Casual;Hidden Object
98,3530,Casual;Hidden Object;Puzzle
99,3540,Casual;Puzzle;Singleplayer
100,3560,Casual;Strategy;Match 3
101,3570,Casual;Hidden Object
102,3580,Casual;Hidden Object
103,3590,Tower Defense;Zombies;Strategy
104,3600,Casual;Hidden Object;Puzzle
105,3610,Casual;Hidden Object
106,3620,Casual;Action;Match 3
107,3700,Action;Sniper;Stealth
108,3710,Action;FPS;First-Person
109,3720,Base-Building;Strategy;Villain Protagonist
110,3730,FPS;Action;Classic
111,3800,Action;Sci-fi;Story Rich
112,3810,Action;Vampire;Female Protagonist
113,3820,Action;Vampire;Female Protagonist
114,3830,Platformer;Comedy;Adventure
